"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"07X551","7","Bronx Academy of Letters","A","74.9","38.4","B","High School"
"07X600","7","Alfred E. Smith Career and Technical Education High School","C","49.6","30.7","C","High School"
"07X655","7","Samuel Gompers Career and Technical Education High School","F","33.5","17.5","F","High School"
"07X670","7","Health Opportunities High School","B","58.8","33.1","C","High School"
"08X014","8","P.S. X014 Senator John Calandra","D","21.1","8.1","F","Elementary"
"08X036","8","P.S. 036 Unionport","B","41.1","21.1","C","Elementary"
"08X048","8","P.S. 048 Joseph R. Drake","A","57.3","39.0","A","Elementary"
"08X062","8","P.S. 062 Inocensio Casanova","A","61.0","42.7","A","Elementary"
"08X069","8","P.S. 069 The New Vision School","A","73.6","41.4","A","Elementary"
"08X071","8","P.S. 071 Rose E. Scala","C","39.6","23.0","C","K-8"
"08X072","8","P.S. 072 Dr. William Dorney","C","29.5","21.1","C","Elementary"
"08X075","8","P.S. 075","A","56.9","37.0","A","Elementary"
"08X093","8","P.S. 093 Albert G. Oliver","A","59.5","37.8","A","Elementary"
"08X100","8","P.S. 100 Isaac Clason","B","46.2","28.6","B","Elementary"
"08X101","8","M.S. X101 Edward R. Byrne","B","43.8","23.7","C","Middle"
"08X107","8","P.S. 107","C","30.9","26.5","B","Elementary"
"08X119","8","P.S. 119","B","47.5","31.6","B","Elementary"
"08X123","8","J.H.S. 123 James M. Kieran","B","50.8","33.1","B","Middle"
"08X125","8","J.H.S. 125 Henry Hudson","C","28.6","16.9","C","Middle"
"08X130","8","P.S. 130 Abram Stevens Hewitt","C","35.0","21.2","C","Elementary"
"08X131","8","J.H.S. 131 Albert Einstein","C","31.0","19.9","C","Middle"
"08X138","8","P.S. 138 Samuel Randall","C","38.9","22.4","C","Elementary"
"08X140","8","P.S. X140 The Eagle School","C","36.2","23.9","C","Elementary"
"08X146","8","P.S. 146 Edward Collins","B","41.5","23.6","C","Elementary"
"08X182","8","P.S. 182","B","42.5","23.7","C","Elementary"
"08X269","8","Bronx Studio School for Writers and Artists","C","35.8","20.2","C","Middle"
"08X282","8","Women's Academy of Excellence","B","59.0","32.1","C","High School"
"08X293","8","Renaissance High School for Musical Theater & Technology","B","68.6","36.4","B","High School"
"08X295","8","Gateway School for Environmental Research and Technology","D","46.6","27.9","D","High School"
"08X301","8","M.S. 301 Paul L. Dunbar","C","30.5","18.1","C","Middle"
"08X302","8","M.S. 302 Luisa Dessus Cruz","A","77.7","48.9","A","Middle"
"08X304","8","P.S. 304 Early Childhood School","B","46.4","20.9","C","Elementary"
"08X305","8","Pablo Neruda Academy for Architecture and World Studies","B","59.8","38.3","B","High School"
"08X312","8","Millennium Art Academy","A","78.4","42.5","A","High School"
"08X332","8","Holcombe L. Rucker School of Community Research","D","43.2","21.8","F","High School"
"08X333","8","P.S. 333 - The Museum School","C","28.7","15.0","D","Elementary"
"08X335","8","The Academy of the Arts","B","45.1","27.5","B","Elementary"
"08X337","8","The School for Inquiry and Social Justice","A","71.8","42.8","A","Middle"
"08X366","8","Urban Assembly Academy of Civic Engagement","C","30.7","13.9","D","Middle"
"08X367","8","Archimedes Academy for Math, Science and Technolog","B","47.6","30.1","B","Middle"
"08X371","8","Urban Institute of Mathematics","B","50.7","29.4","B","Middle"
"08X375","8","The Bronx Mathematics Preparatory School","C","25.1","13.7","D","Middle"
"08X376","8","Antonia Pantoja Preparatory Academy, A College Boa","B","47.7","30.9","B","Middle"
"08X377","8","Bronx Community High School","B","57.1","28.5","C","Transfer High School"
"08X405","8","Herbert H. Lehman High School","F","30.4","17.1","F","High School"
"08X408","8","Herbert H. Lehman Yabc","A","80.2","38.4","B","YABC"
"08X424","8","The Hunts Point School","C","38.6","22.0","C","Middle"
"08X448","8","SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP","D","18.8","8.6","D","Middle"
"08X452","8","Bronx Guild","B","59.4","32.7","C","High School"
"08X467","8","MOTT HALL COMMUNITY SCHOOL","B","50.4","28.0","B","Middle"
"08X507","8","Stevenson Yabc","D","36.9","18.6","F","YABC"
"08X519","8","Felisa Rincon de Gautier Institute for Law and Public Policy, The","B","59.2","28.0","D","High School"
"08X530","8","Banana Kelly High School","C","47.9","26.9","D","High School"
"08X650","8","Jane Addams High School for Academic Careers","F","39.4","23.8","F","High School"
"09X004","9","P.S./M.S. 004 Crotona Park West","C","36.8","22.5","C","K-8"
"09X011","9","P.S. 011 Highbridge","D","21.2","14.0","D","Elementary"
"09X022","9","J.H.S. 022 Jordan L. Mott","C","29.9","19.5","C","Middle"
"09X028","9","P.S. 028 Mount Hope","B","42.8","23.2","C","Elementary"
"09X035","9","P.S. 035 Franz Siegel","B","48.8","23.8","C","Elementary"
"09X042","9","P.S. 042 Claremont","C","31.8","15.3","D","Elementary"
"09X053","9","P.S. 053 Basheer Quisim","B","47.5","26.0","B","Elementary"
"09X055","9","P.S. 055 Benjamin Franklin","B","41.0","29.7","B","Elementary"
"09X058","9","P.S. 058","D","23.3","16.8","C","Elementary"
"09X063","9","P.S. 063 Author's Academy","C","37.9","11.7","D","Elementary"
"09X064","9","P.S. 064 Pura Belpre","D","18.8","10.3","F","Elementary"
"09X070","9","P.S. 070 Max Schoenfeld","C","31.4","21.0","C","Elementary"
"09X073","9","P.S. 073 Bronx","A","57.6","40.1","A","Elementary"
"09X088","9","P.S. X088 - S. Silverstein Little Sparrow School","B","38.2","12.7","B","K-3"
"09X109","9","P.S. 109 Sedgwick","B","44.7","22.9","C","Elementary"
"09X110","9","P.S. 110 Theodore Schoenfeld","B","42.6","18.1","C","Elementary"
"09X114","9","P.S. X114 - Luis Llorens Torres Schools","F","17.5","8.3","F","Elementary"
"09X117","9","I.S. 117 Joseph H. Wade","C","39.3","25.1","B","Middle"
"09X126","9","P.S. 126 Dr Marjorie H Dunbar","A","60.5","41.2","A","Elementary"
"09X128","9","Mott Hall III","A","65.7","39.6","A","Middle"
"09X132","9","P.S. 132 Garret A. Morgan","C","37.4","27.8","B","Elementary"
"09X145","9","J.H.S. 145 Arturo Toscanini","B","53.3","32.0","B","Middle"
"09X163","9","P.S. 163 Arthur A. Schomburg","C","27.2","15.5","C","Elementary"
"09X170","9","P.S. 170","B","29.9","7.7","C","K-2"
"09X199","9","P.S. 199X - The Shakespeare School","A","79.5","51.7","A","Elementary"
"09X204","9","P.S. 204 Morris Heights","B","44.3","14.8","D","Elementary"
"09X215","9","Kappa","B","55.0","33.3","B","Middle"
"09X218","9","P.S./I.S. 218 Rafael Hernandez Dual Language Magne","C","41.0","18.3","C","K-8"
"09X219","9","I.S. 219 New Venture School","C","30.4","20.9","C","Middle"
"09X227","9","Bronx Expeditionary Learning High School","B","62.5","37.6","B","High School"
"09X229","9","I.S. 229 Roland Patterson","B","56.9","37.1","A","Middle"
"09X230","9","P.S. 230 Dr Roland N. Patterson","C","27.3","17.5","C","Elementary"
"09X231","9","Eagle Academy for Young Men","B","67.0","34.0","C","High School"
"09X232","9","I.S. 232","A","59.9","38.7","A","Middle"
"09X236","9","P.S. 236 Langston Hughes","C","22.1","7.2","C","K-2"
"09X241","9","Urban Assembly School for Applied Math and Science","B","44.2","23.7","C","Middle"
"09X241","9","Urban Assembly School for Applied Math and Science, The","A","81.9","47.4","A","High School"
"09X250","9","Eximius College Preparatory Academy: A College Board School","B","69.5","39.8","B","High School"
"09X252","9","Mott Hall Bronx High School","B","59.7","27.0","D","High School"
"09X260","9","Bronx Center for Science and Mathematics","A","75.0","43.5","A","High School"
"09X263","9","Validus Preparatory Academy: An Expeditionary Learning School","C","54.7","29.1","C","High School"
"09X276","9","Leadership Institute","C","57.4","32.4","C","High School"
"09X297","9","Morris Academy for Collaborative Studies","B","67.2","35.9","B","High School"
"09X303","9","I.S. X303 Leadership & Community Service","C","29.6","16.4","C","Middle"
"09X313","9","I.S. 313 School of Leadership Development","C","30.7","18.5","C","Middle"
"09X323","9","Bronx Writing Academy","C","30.5","19.6","C","Middle"
"09X324","9","Bronx Early College Academy for Teaching & Learnin","C","26.6","12.6","D","Middle"
"09X325","9","Urban Science Academy","C","33.8","23.1","C","Middle"
"09X327","9","Comprehensive Model School Project M.S. 327","B","56.5","30.9","B","Middle"
"09X328","9","New Millennium Business Academy Middle School","D","15.6","5.6","F","Middle"
"09X329","9","DreamYard Preparatory School","D","40.8","25.9","D","High School"
"09X339","9","I.S. 339","D","19.2","11.6","D","Middle"
"09X365","9","Academy for Language and Technology","A","74.4","43.5","A","High School"
"09X403","9","Bronx International High School","A","76.3","50.7","A","High School"
"09X404","9","School for Excellence","B","65.5","41.0","B","High School"
"09X412","9","Bronx High School of Business","C","53.1","33.1","C","High School"
"09X413","9","Bronx High School for Medical Science","B","45.2","24.4","C","Middle"
"09X413","9","Bronx High School for Medical Science","C","54.1","28.4","C","High School"
"09X414","9","Jonathan Levin High School for Media and Communications","C","49.6","29.0","C","High School"
"09X443","9","THE FAMILY SCHOOL","D","14.7","4.1","F","K-3"
"09X454","9","SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL","A","71.7","44.9","A","Middle"
"09X457","9","SHERIDAN ACADEMY FOR YOUNG LEADERS","C","18.3","5.3","C","K-3"
"09X505","9","Bronx School for Law, Government and Justice","C","40.3","18.5","C","Middle"
"09X505","9","Bronx School for Law, Government and Justice","C","55.5","29.5","C","High School"
"09X517","9","Frederick Douglass Academy III Secondary School","B","67.5","34.3","C","High School"
"09X525","9","Bronx Leadership Academy High School","B","62.8","33.4","C","High School"
"09X543","9","High School for Violin and Dance","A","73.8","40.8","B","High School"
"10X003","10","P.S. 3 Raul Julia Micro Society","B","48.6","29.8","B","K-8"
"10X007","10","P.S. 007 Kingsbridge","A","66.8","42.1","A","Elementary"
"10X008","10","P.S. 008 Issac Varian","B","42.6","27.8","B","Elementary"
"10X009","10","P.S. 9 Ryer Avenue Elementary School","C","35.0","20.3","C","Elementary"
"10X015","10","P.S. X015 Institute for Environmental Learning","A","64.3","32.4","B","K-8"
"10X020","10","P.S. 20 P.O.George J. Werdan III","C","37.5","21.2","C","K-8"
"10X023","10","P.S. 023 The New Children's School","B","29.9","10.5","B","K-2"
"10X024","10","P.S. 024 Spuyten Duyvil","B","45.0","27.0","B","Elementary"
"10X032","10","P.S. 032 Belmont","B","43.2","10.6","F","Elementary"
"10X033","10","P.S. 033 Timothy Dwight","C","40.0","23.7","C","Elementary"
"10X037","10","P.S. X037 - Multiple Intelligence School","C","31.6","15.9","C","K-8"
"10X045","10","Thomas C. Giordano Middle School 45","C","40.4","24.2","C","Middle"
"10X046","10","P.S. 046 Edgar Allan Poe","C","35.1","23.9","C","Elementary"
"10X051","10","P.S. 051 Bronx New School","A","72.0","47.8","A","Elementary"
"10X054","10","P.S. / I.S. 54","D","22.6","14.3","D","Elementary"
"10X056","10","P.S. 056 Norwood Heights","A","67.1","42.5","A","Elementary"
"10X059","10","P.S. 059 The Community School of Technology","B","41.6","23.1","C","Elementary"
"10X080","10","J.H.S. 080 The Mosholu Parkway","C","31.2","21.6","C","Middle"
"10X081","10","P.S. 081 Robert J. Christen","C","36.0","17.1","C","Elementary"
"10X085","10","P.S. 085 Great Expectations","C","26.3","19.8","C","Elementary"
"10X086","10","P.S. 086 Kingsbridge Heights","A","61.7","31.5","B","Elementary"
"10X091","10","P.S. 091 Bronx","C","40.2","30.7","B","Elementary"
"10X094","10","P.S. 094 Kings College School","C","39.9","27.4","B","Elementary"
"10X095","10","P.S. 095 Sheila Mencher","C","38.2","24.0","C","K-8"
"10X118","10","J.H.S. 118 William W. Niles","C","28.9","16.0","C","Middle"
"10X141","10","Riverdale / Kingsbridge Academy (Middle School / H","C","35.5","20.7","C","Middle"
"10X141","10","Riverdale / Kingsbridge Academy (Middle School / High School 141)","A","73.9","40.0","B","High School"
"10X159","10","P.S. 159 Luis Munoz Marin Biling","C","31.6","13.2","D","Elementary"
"10X205","10","P.S. 205 Fiorello Laguardia","B","46.0","17.1","C","Elementary"
"10X206","10","I.S. 206 Ann Mersereau","C","41.1","22.7","C","Middle"
"10X207","10","P.S. 207","C","26.7","8.1","C","K-2"
"10X209","10","P.S. 209","B","37.9","10.4","B","K-2"
"10X213","10","Bronx Engineering and Technology Academy","C","57.3","25.9","D","High School"
"10X225","10","Theatre Arts Production Company School","C","29.6","15.9","C","Middle"
"10X226","10","P.S. 226","C","39.9","25.3","B","Elementary"
"10X228","10","Jonas Bronck Academy","B","47.2","21.3","C","Middle"
"10X237","10","The Marie Curie School for Medicine, Nursing, and Health Professions","B","58.4","35.0","B","High School"
"10X243","10","West Bronx Academy for the Future","C","39.7","18.9","C","Middle"
"10X243","10","West Bronx Academy for the Future","C","53.8","31.9","C","High School"
"10X244","10","The New School for Leadership and Journalism","A","69.5","38.9","A","Middle"
"10X246","10","P.S. 246 Poe Center","B","40.8","24.5","B","Elementary"
"10X254","10","I.S. 254","C","36.6","21.4","C","Middle"
"10X268","10","Kingsbridge International High School","B","69.6","43.2","A","High School"
"10X279","10","P.S. 279 Captain Manuel Rivera, Jr.","B","47.6","28.8","B","K-8"
"10X280","10","P.S./M.S. 280 Mosholu Parkway","B","44.3","22.7","C","K-8"
"10X284","10","Bronx School of Law and Finance","B","58.6","36.3","B","High School"
"10X291","10","P.S. 291","B","41.2","16.0","C","Elementary"
"10X306","10","P.S. 306","D","24.9","14.9","D","Elementary"
"10X307","10","P.S. X307 - Eames Place","A","57.5","24.6","B","Elementary"
"10X308","10","Bronx Dance Academy School","B","48.5","25.5","B","Middle"
"10X310","10","P.S. 310 Marble Hill","D","25.2","12.0","D","Elementary"
"10X315","10","P.S. 315 Lab School","A","64.2","33.4","B","K-8"
"10X331","10","The Bronx School of Science Inquiry and Investigat","B","43.3","24.4","C","Middle"
"10X340","10","P.S. 340","C","31.7","13.7","D","Elementary"
"10X342","10","International School for Liberal Arts","A","73.6","51.7","A","Middle"
"10X342","10","International School for Liberal Arts","C","56.0","26.0","D","High School"
"10X344","10","Ampark Neighborhood","C","22.1","9.9","F","Elementary"
"10X360","10","P.S. 360","C","33.1","19.4","C","Elementary"
"10X368","10","In-Tech Academy (M.S. / High School 368)","B","48.7","27.3","B","Middle"
"10X368","10","In-Tech Academy (M.S. / High School 368)","C","57.2","33.0","C","High School"
"10X374","10","Knowledge and Power Preparatory Academy International High School (Kappa)","A","78.4","39.6","B","High School"
"10X382","10","Elementary School for Math, Science, and Technolog","B","46.5","29.3","B","Elementary"
"10X386","10","School for Environmental Citizenship","F","16.6","3.6","F","Elementary"
"10X390","10","M.S. 390","B","45.9","27.4","B","Middle"
"10X391","10","The Angelo Patri Middle School","C","40.7","27.0","B","Middle"
"10X396","10","P.S. 396","B","41.2","21.2","C","Elementary"
"10X433","10","High School for Teaching and the Professions","B","69.6","42.5","A","High School"
"10X434","10","Belmont Preparatory High School","A","70.9","41.0","B","High School"
"10X437","10","Fordham High School for the Arts","A","77.6","39.3","B","High School"
"10X438","10","Fordham Leadership Academy for Business and Technology","D","40.6","27.1","D","High School"
"10X439","10","Bronx High School for Law and Community Service","B","58.6","32.4","C","High School"
"10X440","10","DeWitt Clinton High School","F","39.4","21.9","F","High School"
"10X442","10","Celia Cruz Bronx High School of Music, The","C","54.8","31.8","C","High School"
"10X445","10","Bronx High School of Science","A","74.7","43.8","A","High School"
"10X447","10","CRESTON ACADEMY","C","38.4","17.7","C","Middle"
"10X459","10","EAST FORDHAM ACADEMY FOR THE ARTS","A","60.8","37.5","A","Middle"
"10X477","10","Marble Hill High School for International Studies","A","88.7","50.9","A","High School"
"10X503","10","Walton Yabc","C","49.7","28","C","YABC"
"10X504","10","Kennedy Yabc","D","42.1","22.4","D","YABC"
"10X546","10","Bronx Theatre High School","C","55.9","29.7","C","High School"
"10X549","10","Discovery High School","A","84.2","45.4","A","High School"
"10X660","10","Grace Dodge Career and Technical Education High School","F","39.9","24.8","D","High School"
"10X667","10","Grace Dodge Yabc","D","41.1","16","F","YABC"
"10X696","10","High School of American Studies at Lehman College","A","76.3","42.3","A","High School"
"11X016","11","P.S. 016 Wakefield","B","40.7","30.8","B","Elementary"
"11X019","11","P.S. 019 Judith K. Weiss","B","53.0","32.4","B","K-8"
"11X021","11","P.S. 021 Philip H. Sheridan","C","27.1","18.1","C","Elementary"
"11X041","11","P.S. 041 Gun Hill Road","A","77.6","46.9","A","Elementary"
"11X068","11","P.S. 068 Bronx","B","48.0","27.0","B","Elementary"
"11X076","11","P.S. 076 The Bennington School","B","44.9","27.6","B","Elementary"
"11X078","11","P.S. 078 Anne Hutchinson","B","49.3","33.2","B","Elementary"
"11X083","11","P.S. 083 Donald Hertz","B","48.4","29.0","B","K-8"
"11X087","11","P.S. 087 Bronx","C","29.7","23.0","C","Elementary"
"11X089","11","P.S. 089 Bronx","C","35.9","25.9","B","K-8"
"11X096","11","P.S. 096 Richard Rodgers","B","47.7","25.0","B","Elementary"
"11X097","11","P.S. 097 Bronx","A","70.1","46.4","A","Elementary"
"11X103","11","P.S. 103 Hector Fontanez","B","49.2","32.7","B","Elementary"
"11X105","11","P.S. 105 Sen Abraham Bernstein","C","32.8","17.0","C","Elementary"
"11X106","11","P.S. 106 Parkchester","B","46.9","26.1","B","Elementary"
"11X108","11","P.S. 108 Philip J. Abinanti","C","38.6","22.9","C","Elementary"
"11X111","11","P.S. 111 Seton Falls","C","26.0","19.1","C","Elementary"
"11X112","11","P.S. 112 Bronxwood","D","18.3","8.5","F","Elementary"
"11X121","11","P.S. 121 Throop","C","31.2","13.5","D","Elementary"
"11X127","11","J.H.S. 127 The Castle Hill","C","31.3","17.1","C","Middle"
"11X142","11","MS 142 John Philip Sousa","C","35.7","25.6","B","Middle"
"11X144","11","J.H.S. 144 Michelangelo","C","33.5","24.0","C","Middle"
"11X153","11","P.S. 153 Helen Keller","A","71.6","43.2","A","Elementary"
"11X160","11","P.S. 160 Walt Disney","C","35.0","24.8","B","Elementary"
"11X175","11","P.S. 175 City Island","C","27.8","13.2","D","K-8"
"11X178","11","P.S. 178 - Dr. Selman Waksman","B","54.3","39.9","A","Elementary"
"11X180","11","M.S. 180 Dr. Daniel Hale Williams","C","39.2","17.2","C","Middle"
"11X181","11","I.S. 181 Pablo Casals","B","51.2","26.2","B","Middle"
"11X189","11","Cornerstone Academy for Social Action","C","40.1","28.7","B","Elementary"
"11X194","11","PS/MS 194","C","37.8","22.3","C","K-8"
"11X249","11","Bronx Health Sciences High School","A","83.3","46.3","A","High School"
"11X253","11","Bronx High School for Writing and Communication Arts","C","49.5","29.5","C","High School"
"11X265","11","Bronx Lab School","C","52.7","27.9","D","High School"
"11X270","11","Academy for Scholarship and Entrepreneurship: A Co","D","18.7","9.5","D","Middle"
"11X270","11","Academy for Scholarship and Entrepreneurship: A College Board School","D","46.8","26.5","D","High School"
"11X272","11","Globe School for Environmental Research","C","33.8","24.0","C","Middle"
"11X275","11","High School of Computers and Technology","A","84.2","41.0","B","High School"
"11X287","11","The Forward School","B","43.8","27.8","B","Middle"
"11X288","11","Collegiate Institute for Math and Science","A","77.2","44.6","A","High School"
"11X289","11","The Young Scholars Academy of The Bronx","C","33.6","21.8","C","Middle"
"11X290","11","Bronx Academy of Health Careers","A","75.2","44.6","A","High School"
"11X299","11","Astor Collegiate Academy","C","54.0","26.7","D","High School"
"11X322","11","Aspire Preparatory Middle School","F","13.6","7.0","F","Middle"
"11X326","11","Bronx Green Middle School","B","48.1","31.0","B","Middle"
"11X370","11","School of Diplomacy","F","12.8","6.6","F","Middle"
"11X417","11","C Columbus Hs Yabc","B","71","31","C","YABC"
"11X418","11","Bronx High School for the Visual Arts","C","55.5","29.5","C","High School"
"11X455","11","Harry S Truman High School","B","69.4","37.6","B","High School"
"11X462","11","CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO","B","41.5","21.5","C","Middle"
"11X468","11","PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME","B","51.0","26.5","B","Middle"
"11X513","11","New World High School","B","65.2","39.6","B","High School"
"11X514","11","The Bronxwood Preparatory Academy","C","49.1","28.7","C","High School"
"11X542","11","Pelham Preparatory Academy","B","67.2","35.2","B","High School"
"11X544","11","High School for Contemporary Arts","A","72.8","31.4","C","High School"
"12X006","12","P.S. 006 West Farms","C","28.3","22.4","C","Elementary"
"12X044","12","P.S. 044 David C. Farragut","C","34.4","16.9","C","Elementary"
"12X047","12","P.S. 047 John Randolph","B","48.3","24.7","B","Elementary"
"12X050","12","P.S. 050 Clara Barton","C","36.4","26.8","B","Elementary"
"12X057","12","P.S. 057 Crescent","C","37.9","20.1","C","Elementary"
"12X061","12","P.S. 061 Francisco Oller","D","19.1","2.0","F","Elementary"
"12X066","12","P.S. 066 School of Higher Expectations","B","49.8","28.3","B","Elementary"
"12X067","12","P.S. 067 Mohegan School","B","55.3","37.5","A","Elementary"
"12X092","12","P.S. 092 Bronx","C","28.5","23.9","C","Elementary"
"12X098","12","J.H.S. 098 Herman Ridder","C","39.3","20.9","C","Middle"
"12X129","12","P.S. 129 Twin Parks Upper","B","53.7","29.7","B","Middle"
"12X134","12","P.S. 134 George F. Bristow","C","34.6","21.7","C","Elementary"
"12X150","12","P.S. 150 Charles James Fox","B","41.7","22.5","C","Elementary"
"12X190","12","E.S.M.T- I.S. 190","C","30.7","13.6","D","Middle"
"12X195","12","P.S. 195","C","39.7","26.3","B","Elementary"
"12X196","12","P.S. 196","C","30.1","10.7","F","Elementary"
"12X211","12","P.S. 211","B","57.0","38.6","A","K-8"
"12X212","12","P.S. 212","B","56.1","37.5","A","K-8"
"12X214","12","P.S. 214","B","56.5","33.8","B","K-8"
"12X217","12","School of Performing Arts","C","34.8","22.1","C","Middle"
"12X242","12","Mott Hall V","B","53.9","31.7","B","Middle"
"12X248","12","Metropolitan High School, The","A","80.3","43.4","A","High School"
"12X251","12","Explorations Academy","B","68.9","37.9","B","High School"
"12X267","12","Bronx Latin","A","79.6","47.9","A","Middle"
"12X267","12","Bronx Latin","A","75.7","44.5","A","High School"
"12X271","12","East Bronx Academy for the Future","C","38.3","22.9","C","Middle"
"12X271","12","East Bronx Academy for the Future","B","67.5","37.8","B","High School"
"12X273","12","Frederick Douglass Academy V. Middle School","B","53.4","30.1","B","Middle"
"12X278","12","Peace and Diversity Academy","C","53.4","29.9","C","High School"
"12X286","12","Fannie Lou Hamer Middle School","C","30.3","12.2","D","Middle"
"12X300","12","The School of Science and Applied Learning","D","24.3","15.1","D","Elementary"
"12X316","12","Kappa III","A","60.5","35.5","A","Middle"
"12X318","12","I.S. X318 Math, Science & Technology Through Arts","B","53.7","31.4","B","Middle"
"12X341","12","Accion Academy","C","38.8","22.4","C","Middle"
"12X372","12","Urban Assembly School for Wildlife Conservation","D","20.2","10.8","D","Middle"
"12X383","12","Emolior Academy","C","36.0","17.8","C","Middle"
"12X384","12","Entrada Academy","C","31.8","17.6","C","Middle"
"12X428","12","Learning To Work Yabc At Monroe Academy","B","60.3","29.9","C","YABC"
"12X463","12","URBAN SCHOLARS COMMUNITY SCHOOL","F","12.9","2.4","F","K-3"
"12X480","12","Bronx Regional High School","C","54.7","26.2","D","Transfer High School"
"12X550","12","High School of World Cultures","B","67.0","36.5","B","High School"
"12X682","12","Fannie Lou Hamer Freedom High School","A","70.6","33.5","C","High School"
"12X684","12","Wings Academy","C","54.4","27.8","D","High School"
"12X691","12","Bronx Little School","A","63.5","46.6","A","Elementary"
"12X692","12","Monroe Academy for Visual Arts & Design","B","58.2","35.9","B","High School"
"13K003","13","P.S. 003 The Bedford Village","C","33.4","20.3","C","Elementary"
"13K008","13","P.S. 008 Robert Fulton","C","33.3","14.6","D","Elementary"
"13K009","13","P.S. 009 Teunis G. Bergen","C","34.2","19.3","C","Elementary"
"13K011","13","P.S. 011 Purvis J. Behan","B","46.9","27.1","B","Elementary"
"13K020","13","P.S. 020 Clinton Hill","B","46.1","29.8","B","Elementary"
"13K044","13","P.S. 044 Marcus Garvey","B","44.5","26.7","B","Elementary"
"13K046","13","P.S. 046 Edward C. Blum","A","70.3","48.4","A","Elementary"
"13K054","13","P.S. 054 Samuel C. Barnes","C","35.9","23.5","C","Elementary"
"13K056","13","P.S. 056 Lewis H. Latimer","A","57.0","34.4","A","Elementary"
"13K067","13","P.S. 067 Charles A. Dorsey","D","25.2","8.6","F","Elementary"
"13K093","13","P.S. 093 William H. Prescott","B","43.4","31.5","B","Elementary"
"13K103","13","Satellite Three","D","16.9","11.2","D","Middle"
"13K113","13","M.S. 113 Ronald Edmonds Learning Center","D","22.4","11.0","D","Middle"
"13K133","13","P.S. 133 William A. Butler","B","43.9","27.5","B","Elementary"
"13K256","13","P.S. 256 Benjamin Banneker","F","16.6","8.0","F","Elementary"
"13K265","13","Dr. Susan S. McKinney Secondary School of the Arts","B","47.1","29.8","B","Middle"
"13K265","13","Dr. Susan S. McKinney Secondary School of the Arts","B","68.5","44.5","A","High School"
"13K266","13","M.S. K266 - Park Place Community Middle School","C","28.1","15.3","C","Middle"
"13K270","13","P.S. 270 Johann DeKalb","C","39.4","15.0","D","Elementary"
"13K282","13","P.S. 282 Park Slope","C","28.0","15.2","C","K-8"
"13K287","13","P.S. 287 Bailey K. Ashford","B","45.2","31.1","B","Elementary"
"13K301","13","Satellite East Middle School","B","48.8","35.7","A","Middle"
"13K305","13","P.S. 305 Dr. Peter Ray","C","37.4","26.5","B","Elementary"
"13K307","13","P.S. 307 Daniel Hale Williams","C","33.0","20.2","C","Elementary"
"13K313","13","Satellite West Middle School","A","65.0","40.9","A","Middle"
"13K336","13","Academy of Business and Community Development","D","21.4","12.0","D","Middle"
"13K350","13","Urban Assembly High School of Music and Art","D","42.2","21.2","F","High School"
"13K412","13","Brooklyn Community High School of Communication, Arts and Media","C","57.9","34.4","C","High School"
"13K419","13","Science Skills Center High School for Science, Technology and the Creative Arts","A","74.1","39.2","B","High School"
"13K430","13","Brooklyn Technical High School","B","66.6","37.7","B","High School"
"13K439","13","Brooklyn International High School","A","102.1","58.0","A","High School"
