"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"13K483","13","The Urban Assembly School for Law and Justice","B","68.2","37.4","B","High School"
"13K492","13","Urban Assembly Academy of Arts and Letters","B","45.5","23.0","C","Middle"
"13K499","13","ACORN Community High School","B","64.1","42.7","A","High School"
"13K509","13","Freedom Academy High School","F","27.7","10.4","F","High School"
"13K527","13","Urban Assembly Institute of Math and Science for Y","B","49.6","35.5","A","Middle"
"13K553","13","Brooklyn Academy High School","A","71.3","34.9","B","Transfer High School"
"13K575","13","Bedford Stuyvesant Preparatory High School","C","51.8","24.8","D","Transfer High School"
"13K595","13","Bedford Academy High School","A","84.7","51.9","A","High School"
"13K596","13","Knowledge and Power Preparatory Academy VII Middle","F","7.5","1.1","F","Middle"
"13K605","13","George Westinghouse Career and Technical Education High School","D","40.9","22.8","F","High School"
"13K616","13","Brooklyn High School for Leadership and Community Service","B","60.5","28.6","C","Transfer High School"
"13K657","13","Downtown Brooklyn Yabc","D","37.6","20.3","F","YABC"
"13K670","13","Benjamin Banneker Academy","B","64.2","38.1","B","High School"
"14K016","14","P.S. 016 Leonard Dunkly","C","30.6","17.4","C","Elementary"
"14K017","14","P.S. 017 Henry D. Woodworth","C","38.8","21.1","C","Elementary"
"14K018","14","P.S. 018 Edward Bush","C","29.9","13.2","D","Elementary"
"14K019","14","P.S. 019 Roberto Clemente","F","9.0","0.7","F","Elementary"
"14K023","14","P.S. 023 Carter G. Woodson","B","45.4","23.6","C","Elementary"
"14K031","14","P.S. 031 Samuel F. Dupont","A","91.5","51.8","A","Elementary"
"14K034","14","P.S. 034 Oliver H. Perry","A","70.0","39.8","A","Elementary"
"14K050","14","J.H.S. 050 John D. Wells","C","41.0","31.0","B","Middle"
"14K059","14","P.S. 059 William Floyd","C","37.1","28.3","B","Elementary"
"14K071","14","Juan Morel Campos Secondary School","C","24.0","13.5","D","Middle"
"14K071","14","Juan Morel Campos Secondary School","C","47.8","25.2","D","High School"
"14K084","14","P.S. 084 Jose De Diego","B","49.5","33.3","B","Elementary"
"14K110","14","P.S. 110 The Monitor","C","32.4","15.9","C","Elementary"
"14K120","14","P.S. 120 Carlos Tapia","A","66.9","39.6","A","Elementary"
"14K126","14","John Ericsson Middle School 126","D","20.9","14.0","D","Middle"
"14K132","14","P.S. 132 The Conselyea School","C","25.8","4.0","F","Elementary"
"14K147","14","P.S. 147 Isaac Remsen","B","45.1","22.2","C","Elementary"
"14K157","14","P.S. 157 Benjamin Franklin","B","40.8","20.2","C","Elementary"
"14K196","14","P.S. 196 Ten Eyck","C","31.8","2.8","F","Elementary"
"14K250","14","P.S. 250 George H. Lindsay","B","42.8","26.8","B","Elementary"
"14K257","14","P.S. 257 John F. Hylan","A","91.4","52.8","A","Elementary"
"14K297","14","P.S. 297 Abraham Stockton","B","45.1","29.4","B","Elementary"
"14K318","14","I.S. 318 Eugenio Maria De Hostos","C","31.5","14.7","C","Middle"
"14K330","14","The Urban Assembly School for the Urban Environmen","B","46.1","32.6","B","Middle"
"14K380","14","P.S. 380 John Wayne Elementary","A","83.3","42.3","A","Elementary"
"14K404","14","Academy for Young Writers","A","71.5","38.4","B","High School"
"14K449","14","Brooklyn Latin School, The","B","59.3","36.6","B","High School"
"14K454","14","Green School: An Academy for Environmental Careers","B","59.8","31.0","C","High School"
"14K474","14","PROGRESS High School for Professional Careers","C","53.1","31.7","C","High School"
"14K477","14","School for Legal Studies","D","46.4","27.0","D","High School"
"14K478","14","The High School for Enterprise, Business and Technology","A","76.4","35.5","B","High School"
"14K488","14","Brooklyn Preparatory High School","B","61.8","29.8","C","High School"
"14K558","14","Williamsburg High School for Architecture and Design","A","94.5","51.2","A","High School"
"14K561","14","Williamsburg Preparatory School","A","88.2","44.6","A","High School"
"14K577","14","Conselyea Preparatory School","B","42.5","18.8","C","Middle"
"14K582","14","M.S. 582","D","19.8","6.7","F","Middle"
"14K586","14","Lyons Community School","B","46.3","29.0","B","Middle"
"14K586","14","Lyons Community School","A","74.1","38.8","B","High School"
"14K610","14","Automotive High School","C","57.0","31.2","C","High School"
"14K614","14","Young Women's Leadership School of Brooklyn","A","72.4","45.2","A","Middle"
"14K685","14","El Puente Academy for Peace and Justice","A","87.0","47.3","A","High School"
"14K923","14","Automotive High School Yabc","B","68.1","33.5","B","YABC"
"15K001","15","P.S. 001 The Bergen","B","47.2","26.4","B","Elementary"
"15K010","15","Magnet School of Math, Science and Design Technolo","B","45.5","19.6","C","Elementary"
"15K015","15","P.S. 015 Patrick F. Daly","B","55.7","25.3","B","Elementary"
"15K024","15","P.S. 024","B","43.6","24.8","B","Elementary"
"15K029","15","P.S. 029 John M. Harrigan","C","30.7","7.0","F","Elementary"
"15K032","15","P.S. 032 Samuels Mills Sprole","C","27.0","7.7","F","Elementary"
"15K038","15","P.S. 038 The Pacific","C","40.4","24.6","B","Elementary"
"15K039","15","P.S. 039 Henry Bristow","B","45.0","22.8","C","Elementary"
"15K051","15","M.S. 51 William Alexander","A","66.5","35.7","A","Middle"
"15K058","15","P.S. 058 The Carroll","B","47.9","29.2","B","Elementary"
"15K088","15","J.H.S. 088 Peter Rouget","A","70.3","40.3","A","Middle"
"15K094","15","P.S. 094 The Henry Longfellow","B","43.7","28.3","B","Elementary"
"15K107","15","P.S. 107 John W. Kimball","B","54.8","30.3","B","Elementary"
"15K124","15","P.S. 124 Silas B. Dutcher","B","43.5","27.9","B","Elementary"
"15K130","15","P.S. 130 The Parkside","A","61.6","36.8","A","Elementary"
"15K131","15","P.S. 131 Brooklyn","A","57.3","32.7","B","Elementary"
"15K136","15","I.S. 136 Charles O. Dewey","B","48.1","33.7","B","Middle"
"15K146","15","P.S. 146","A","61.3","32.0","B","Elementary"
"15K154","15","Magnet School for Science & Technology","A","72.0","47.3","A","Elementary"
"15K169","15","P.S. 169 Sunset Park","C","29.7","14.4","D","Elementary"
"15K172","15","P.S. 172 Beacon School of Excellence","A","88.3","44.4","A","Elementary"
"15K230","15","P.S. 230 Doris L. Cohen","C","35.8","18.6","C","Elementary"
"15K261","15","P.S. 261 Philip Livingston","C","26.1","9.0","F","Elementary"
"15K295","15","P.S. 295","A","64.7","38.9","A","Elementary"
"15K321","15","P.S. 321 William Penn","A","60.4","31.7","B","Elementary"
"15K418","15","The Children's School","A","71.6","41.1","A","Elementary"
"15K429","15","Brooklyn School for Global Studies","B","45.7","28.3","B","Middle"
"15K429","15","Brooklyn School for Global Studies","B","60.8","37.0","B","High School"
"15K442","15","New Horizons School","B","48.7","29.4","B","Middle"
"15K443","15","New Voices School of Academic & Creative Arts","A","58.7","26.7","B","Middle"
"15K447","15","The Math & Science Exploratory School","A","76.4","42.1","A","Middle"
"15K448","15","Brooklyn Secondary School for Collaborative Studi","A","62.5","36.9","A","Middle"
"15K448","15","Brooklyn Secondary School for Collaborative Studies","A","74.1","34.5","C","High School"
"15K462","15","Secondary School for Law","C","56.2","30.3","C","High School"
"15K463","15","Secondary School for Journalism","B","67.1","43.1","A","High School"
"15K464","15","Park Slope Collegiate","C","37.7","20.1","C","Middle"
"15K464","15","Park Slope Collegiate","D","42.0","19.0","F","High School"
"15K497","15","School for International Studies","C","39.8","21.9","C","Middle"
"15K519","15","Cobble Hill School of American Studies","B","59.7","36.6","B","High School"
"15K529","15","West Brooklyn Community High School","A","73.7","32.7","C","Transfer High School"
"15K656","15","Brooklyn High School of the Arts","B","67.6","38.2","B","High School"
"15K676","15","RED HOOK NEIGHBORHOOD SCHOOL","C","36.3","25.1","B","Elementary"
"15K698","15","South Brooklyn Community High School","B","56.4","30.7","C","Transfer High School"
"15K821","15","Sunset Park Prep","A","60.1","33.1","B","Middle"
"16K005","16","P.S. 005 Dr. Ronald Mcnair","C","30.7","16.5","C","Elementary"
"16K021","16","P.S. 021 Crispus Attucks","A","69.7","41.9","A","Elementary"
"16K025","16","P.S. 025 Eubie Blake School","C","35.8","22.6","C","Elementary"
"16K026","16","P.S. 026 Jesse Owens","A","70.8","46.2","A","Elementary"
"16K028","16","P.S. 028 The Warren Prep Academy","D","23.4","6.9","F","Elementary"
"16K035","16","M.S. 035 Stephen Decatur","A","70.3","41.0","A","Middle"
"16K040","16","P.S. 040 George W. Carver","A","80.3","56.4","A","Elementary"
"16K057","16","J.H.S. 057 Whitelaw Reid","C","36.3","20.1","C","Middle"
"16K081","16","P.S. 081 Thaddeus Stevens","B","41.0","24.9","B","Elementary"
"16K243","16","P.S. 243K- The Weeksville School","C","37.5","23.9","C","Elementary"
"16K262","16","P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","A","68.1","38.8","A","Elementary"
"16K267","16","M.S. 267 Math, Science & Technology","A","64.4","34.7","B","Middle"
"16K308","16","P.S. 308 Clara Cardwell","D","18.3","7.2","F","K-8"
"16K309","16","P.S. 309 The George E. Wibecan Preparatory Academy","C","35.7","21.6","C","Elementary"
"16K335","16","P.S. 335 Granville T. Woods","A","64.9","36.5","A","Elementary"
"16K385","16","School of Business, Finance and Entrepreneurship","B","57.9","31.8","B","Middle"
"16K393","16","Frederick Douglass Academy IV Secondary School","F","12.3","2.9","F","Middle"
"16K393","16","Frederick Douglass Academy IV Secondary School","C","50.6","25.3","D","High School"
"16K455","16","Boys and Girls High School","F","37.6","20.9","F","High School"
"16K498","16","Brooklyn High School for Law and Technology","B","68.8","34.3","C","High School"
"16K534","16","Upper School @ P.S. 25","B","45.7","30.5","B","Middle"
"16K584","16","M.S. 584","C","35.4","25.2","B","Middle"
"16K594","16","Gotham Professional Arts Academy","F","36.9","22.9","F","High School"
"16K636","16","Young Scholars' Academy for Discovery and Explorat","A","88.6","57.9","A","Elementary"
"17K002","17","M.S. 002","B","55.2","30.5","B","Middle"
"17K006","17","P.S. 006","B","44.2","25.9","B","Elementary"
"17K012","17","P.S. 012","C","32.7","21.2","C","Elementary"
"17K022","17","P.S. 022","F","17.3","9.5","F","Elementary"
"17K061","17","M.S. 061 Dr. Gladstone H. Atwell","C","35.9","19.4","C","Middle"
"17K091","17","P.S. 091 The Albany Avenue School","D","21.4","8.4","F","Elementary"
"17K092","17","P.S. 092 Adrian Hegeman","C","36.1","19.5","C","Elementary"
"17K138","17","P.S. 138 Brooklyn","B","50.9","27.7","B","K-8"
"17K161","17","P.S. 161 The Crown","D","20.4","10.8","D","K-8"
"17K167","17","P.S. 167 The Parkway","C","33.5","23.8","C","Elementary"
"17K181","17","P.S. 181 Brooklyn","B","47.0","31.6","B","K-8"
"17K189","17","P.S. 189 Lincoln Terrace","A","89.4","53.1","A","K-8"
"17K191","17","P.S. 191 Paul Robeson","B","53.7","34.8","A","Elementary"
"17K221","17","P.S. 221 Toussaint L'Ouverture","A","59.0","37.1","A","Elementary"
"17K241","17","P.S. 241 Emma L. Johnston","A","64.6","36.4","A","Elementary"
"17K246","17","M.S. 246 Walt Whitman","B","47.8","31.0","B","Middle"
"17K249","17","P.S. 249 The Caton","A","65.7","22.8","A","K-3"
"17K289","17","P.S. 289 George V. Brower","C","38.7","25.0","B","Elementary"
"17K316","17","P.S. 316 Elijah Stroud","C","34.3","18.2","C","Elementary"
"17K334","17","Middle School for Academic and Social Excellence","C","41.4","28.2","B","Middle"
"17K340","17","I.S. 340","C","14.0","4.3","F","Middle"
"17K352","17","Ebbets Field Middle School","B","52.9","34.7","B","Middle"
"17K353","17","Elijah Stroud Middle School","B","45.2","25.6","B","Middle"
"17K354","17","The School of Integrated Learning","B","58.1","30.9","B","Middle"
"17K375","17","P.S. 375 Jackie-Robinson School","A","89.2","55.6","A","Elementary"
"17K382","17","Academy for College Preparation and Career Explora","B","47.7","29.8","B","Middle"
"17K382","17","Academy for College Preparation and Career Exploration: A College Board School","D","43.5","26.8","D","High School"
"17K394","17","M.S. K394","B","46.7","20.8","C","K-8"
"17K397","17","P.S. 397 Foster-Laurie","B","50.2","32.3","B","Elementary"
"17K398","17","P.S. 398 Walter Weaver","B","43.8","25.9","B","Elementary"
"17K399","17","P.S. 399 Stanley Eugene Clark","B","54.3","26.1","B","Elementary"
"17K408","17","Academy of Hospitality and Tourism","B","59.4","31.2","C","High School"
"17K467","17","Erasmus Yabc","C","52.2","27.8","C","YABC"
"17K484","17","Ronald Edmonds Learning Center II","A","65.8","42.5","A","Middle"
"17K489","17","W.E.B. Dubois Academic High School","D","42.1","22.2","F","Transfer High School"
"17K524","17","International High School at Prospect Heights","A","76.1","46.7","A","High School"
"17K528","17","The High School for Global Citizenship","C","49.9","30.8","C","High School"
"17K531","17","School for Human Rights, The","C","38.2","16.4","C","Middle"
"17K531","17","School for Human Rights, The","A","77.4","40.4","B","High School"
"17K533","17","School for Democracy and Leadership","D","16.8","7.7","F","Middle"
"17K533","17","School for Democracy and Leadership","D","43.0","22.5","F","High School"
"17K537","17","High School for Youth and Community Development at Erasmus","C","53.2","34.3","C","High School"
"17K539","17","High School for Service & Learning at Erasmus","A","85.3","46.8","A","High School"
"17K543","17","Science, Technology and Research Early College Hig","B","44.0","25.2","B","Middle"
"17K543","17","Science, Technology and Research Early College High School at Erasmus","B","63.6","35.9","B","High School"
"17K544","17","International Arts Business School","F","39.3","22.8","F","High School"
"17K546","17","High School for Public Service: Heroes of Tomorrow","A","78.0","43.6","A","High School"
"17K547","17","Brooklyn Academy of Science and the Environment","B","65.1","35.5","B","High School"
"17K548","17","Brooklyn School for Music & Theatre","B","64.7","38.7","B","High School"
"17K568","17","Brownsville Academy High School","A","73.8","43.1","A","Transfer High School"
"17K587","17","Middle School for the Arts","D","14.6","4.8","F","Middle"
"17K590","17","Medgar Evers College Preparatory School","C","40.5","19.1","C","Middle"
"17K590","17","Medgar Evers College Preparatory School","B","60.9","30.2","C","High School"
"17K600","17","Clara Barton High School","C","50.6","29.0","C","High School"
"18K066","18","P.S. 66","B","49.1","24.4","C","K-8"
"18K068","18","I.S. 068 Isaac Bildersee","B","44.0","28.9","B","Middle"
"18K114","18","P.S. 114 Ryder Elementary","C","34.8","26.0","B","Elementary"
"18K115","18","P.S. 115 Daniel Mucatel School","B","44.0","24.2","C","Elementary"
"18K135","18","P.S. 135 Sheldon A. Brookner","B","49.5","30.0","B","Elementary"
"18K208","18","P.S. 208 Elsa Ebeling","B","44.1","25.0","B","Elementary"
"18K211","18","I.S. 211 John Wilson","A","61.8","37.0","A","Middle"
"18K219","18","P.S. 219 Kennedy-King","B","53.0","34.2","A","Elementary"
"18K233","18","P.S. 233 Langston Hughes","C","26.8","13.0","D","Elementary"
"18K235","18","P.S. 235 Lenox School","A","66.6","39.6","A","K-8"
"18K244","18","P.S. 244 Richard R. Green","A","63.7","36.2","A","Elementary"
"18K268","18","P.S. 268 Emma Lazarus","B","56.0","37.1","A","Elementary"
"18K272","18","P.S. 272 Curtis Estabrook","F","14.2","5.4","F","Elementary"
"18K276","18","P.S. 276 Louis Marshall","B","56.3","37.4","A","Elementary"
"18K279","18","P.S. 279 Herman Schreiber","C","32.8","20.2","C","Elementary"
"18K285","18","I.S. 285 Meyer Levin","B","44.7","28.2","B","Middle"
"18K366","18","THE SCIENCE AND MEDICINE MIDDLE SCHOOL","B","51.0","28.1","B","Middle"
"18K563","18","It Takes a Village Academy","A","98.9","56.5","A","High School"
"18K566","18","Brooklyn Generation School","C","49.3","32.6","C","High School"
"18K567","18","Brooklyn Theatre Arts High School","A","82.3","46.4","A","High School"
"18K569","18","Kurt Hahn Expeditionary Learning School","C","55.3","34.5","C","High School"
"18K576","18","Victory Collegiate High School","A","78.4","46.7","A","High School"
"18K578","18","Brooklyn Bridge Academy","C","47.5","32.0","C","Transfer High School"
"18K581","18","East Flatbush Community Research School","D","21.4","10.3","D","Middle"
"18K588","18","Middle School for Art and Philosophy","C","29.5","19.3","C","Middle"
"18K589","18","Arts & Media Preparatory Academy","B","67.7","37.8","B","High School"
"18K598","18","Middle School of Marketing and Legal Studies","B","53.7","29.8","B","Middle"
"18K635","18","Olympus Academy","C","51.5","24.5","D","Transfer High School"
"18K673","18","EAST BROOKLYN COMMUNITY HIGH SCHOOL","B","56.5","30.4","C","Transfer High School"
"18K922","18","South Shore Educational Complex Yabc","C","46.3","20.5","F","YABC"
"19K007","19","P.S. 007 Abraham Lincoln","A","60.6","36.4","A","Elementary"
"19K013","19","P.S. 013 Roberto Clemente","C","30.8","19.0","C","Elementary"
"19K065","19","P.S. 065","B","47.8","20.4","C","Elementary"
"19K089","19","P.S. 089 Cypress Hills","B","48.1","31.8","B","K-8"
"19K108","19","P.S. 108 Sal Abbracciamento","B","47.4","24.7","B","Elementary"
"19K149","19","P.S. 149 Danny Kaye","C","38.0","22.7","C","Elementary"
"19K158","19","P.S. 158 Warwick","B","44.2","27.9","B","Elementary"
"19K159","19","P.S. 159 Isaac Pitkin","B","44.8","30.8","B","Elementary"
"19K166","19","J.H.S. 166 George Gershwin","C","35.4","24.2","C","Middle"
"19K171","19","I.S. 171 Abraham Lincoln","F","8.5","1.6","F","Middle"
"19K174","19","P.S. 174 Dumont","C","29.8","19.5","C","K-8"
"19K190","19","P.S. 190 Sheffield","B","42.3","22.7","C","Elementary"
"19K202","19","P.S. 202 Ernest S. Jenkyns","D","14.5","5.4","F","K-8"
"19K213","19","P.S. 213 New Lots","D","19.4","7.0","F","Elementary"
"19K214","19","P.S. 214 Michael Friedsam","B","50.4","30.7","B","Elementary"
"19K218","19","J.H.S. 218 James P. Sinnott","B","50.0","33.8","B","Middle"
"19K224","19","P.S. 224 Hale A. Woodruff","C","29.8","17.8","C","Elementary"
"19K273","19","P.S. 273 Wortman","C","32.6","16.3","C","Elementary"
"19K290","19","P.S. 290 Juan Morel Campos","B","52.2","27.9","B","Elementary"
"19K292","19","J.H.S. 292 Margaret S. Douglas","B","54.0","33.0","B","Middle"
"19K302","19","J.H.S. 302 Rafael Cordero","C","31.6","23.2","C","Middle"
"19K306","19","P.S. 306 Ethan Allen","F","7.1","1.9","F","K-8"
"19K311","19","Essence School","C","34.4","22.5","C","Middle"
"19K328","19","P.S. 328 Phyllis Wheatley","D","19.9","9.4","D","K-8"
"19K345","19","P.S. 345 Patrolman Robert Bolden","C","39.8","28.2","B","Elementary"
"19K346","19","P.S. 346 Abe Stark","C","37.2","24.5","B","Elementary"
"19K364","19","I.S. 364 Gateway","C","39.1","24.2","C","Middle"
"19K409","19","East New York Family Academy","A","71.8","47.6","A","Middle"
"19K409","19","East New York Family Academy","C","46.7","21.1","F","High School"
"19K431","19","Thomas Jefferson Yabc","A","86.4","46.8","A","YABC"
"19K452","19","Frederick Douglass Academy VIII Middle School","B","49.9","28.1","B","Middle"
"19K501","19","Franklin K. Lane Campus YABC","A","82.6","48.6","A","YABC"
"19K504","19","High School for Civil Rights","B","63.9","30.5","C","High School"
"19K507","19","Performing Arts and Technology High School","B","63.4","34.7","C","High School"
"19K510","19","World Academy for Total Community Health High School","C","55.0","33.4","C","High School"
"19K583","19","Multicultural High School","C","53.2","34.7","C","High School"
"19K615","19","Transit Tech Career and Technical Education High School","B","62.0","27.3","D","High School"
"19K659","19","Cypress Hills Collegiate Preparatory School","D","40.7","25.0","D","High School"
"19K660","19","W. H. Maxwell Career and Technical Education High School","A","71.9","44.1","A","High School"
"19K677","19","EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE","C","28.1","18.6","C","Elementary"
"19K678","19","EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE","B","54.1","30.4","B","Middle"
"20K030","20","I.S. 30 Mary White Ovington","B","43.5","23.6","C","Middle"
"20K048","20","P.S. 048 Mapleton","A","60.8","39.3","A","Elementary"
"20K062","20","J.H.S. 062 Ditmas","B","54.0","33.5","B","Middle"
"20K069","20","P.S. 69 Vincent D. Grippo School","A","63.0","39.6","A","Elementary"
"20K102","20","P.S. 102 The Bayview","B","50.7","27.2","B","Elementary"
"20K104","20","P.S./I.S. 104 The Fort Hamilton School","B","56.5","29.6","B","K-8"
"20K105","20","P.S. 105 The Blythebourne","A","58.6","36.1","A","Elementary"
"20K112","20","P.S. 112 Lefferts Park","A","71.1","43.4","A","Elementary"
"20K127","20","P.S. 127 Mckinley Park","B","55.2","33.4","B","Elementary"
"20K160","20","P.S. 160 William T. Sampson","C","31.1","16.1","C","Elementary"
"20K163","20","P.S. 163 Bath Beach","A","65.3","41.2","A","Elementary"
"20K164","20","P.S. 164 Caesar Rodney","A","72.2","38.5","A","Elementary"
"20K170","20","Ralph A. Fabrizio School","B","49.0","27.5","B","Elementary"
"20K176","20","P.S. 176 Ovington","A","70.1","41.4","A","Elementary"
"20K179","20","P.S. 179 Kensington","C","30.1","19.2","C","Elementary"
"20K180","20","The SEEALL Academy","B","42.3","22.7","C","K-8"
"20K185","20","P.S. 185 Walter Kassenbrock","C","39.8","21.6","C","Elementary"
"20K186","20","P.S. 186 Dr. Irving A Gladstone","B","50.5","30.8","B","Elementary"
"20K187","20","The Christa McAuliffe SchoolI.S. 187","A","84.5","49.2","A","Middle"
"20K192","20","P.S. 192 - The Magnet School for Math and Science","A","60.4","41.4","A","K-8"
"20K200","20","P.S. 200 Benson School","A","58.7","39.0","A","Elementary"
"20K201","20","J.H.S. 201 The Dyker Heights","A","75.0","44.0","A","Middle"
"20K204","20","P.S. 204 Vince Lombardi","B","55.4","32.3","B","Elementary"
"20K205","20","P.S. 205 Clarion","A","61.0","40.6","A","Elementary"
"20K220","20","J.H.S. 220 John J. Pershing","C","39.8","24.6","C","Middle"
"20K223","20","J.H.S. 223 The Montauk","A","62.8","39.3","A","Middle"
"20K227","20","J.H.S. 227 Edward B. Shallow","A","62.5","40.7","A","Middle"
"20K229","20","P.S. 229 Dyker","B","46.7","26.5","B","K-8"
"20K247","20","P.S. 247 Brooklyn","A","75.8","47.9","A","Elementary"
"20K259","20","J.H.S. 259 William Mckinley","A","69.8","37.9","A","Middle"
"20K445","20","New Utrecht High School","B","60.5","31.2","C","High School"
"20K485","20","High School of Telecommunication Arts and Technology","A","77.9","42.3","A","High School"
"20K490","20","Fort Hamilton High School","B","61.1","34.1","C","High School"
"20K503","20","PS 503: The School of Discovery","B","43.7","25.2","B","Elementary"
"20K505","20","Franklin Delano Roosevelt High School","B","61.5","35.7","B","High School"
"20K506","20","P.S. 506: The School of Journalism & Technology","B","55.5","35.5","A","Elementary"
"20K609","20","Urban Assembly School for Criminal Justice","A","60.6","36.5","A","Middle"
"20K658","20","Franklin Delano Roosevelt YABC","B","62.3","28.8","C","YABC"
"21K090","21","P.S. 90 Edna Cohen School","A","60.1","40.5","A","Elementary"
"21K095","21","P.S. 095 The Gravesend","C","30.5","19.8","C","K-8"
"21K096","21","I.S. 096 Seth Low","B","57.8","37.1","A","Middle"
"21K097","21","P.S. 97 The Highlawn","A","59.7","37.2","A","Elementary"
"21K098","21","I.S. 98 Bay Academy","A","70.6","36.1","A","Middle"
"21K099","21","P.S. 099 Isaac Asimov","A","63.3","37.6","A","K-8"
"21K100","21","P.S. 100 The Coney Island School","C","36.2","18.0","C","Elementary"
"21K101","21","P.S. 101 The Verrazano","B","46.2","20.3","C","Elementary"
"21K121","21","P.S. 121 Nelson A. Rockefeller","A","68.7","40.2","A","K-8"
"21K128","21","P.S. 128 Bensonhurst","B","43.1","24.3","B","Elementary"
"21K153","21","P.S. 153 Homecrest","C","40.2","24.0","C","Elementary"
"21K177","21","P.S. 177 The Marlboro","B","53.3","30.7","B","Elementary"
"21K188","21","P.S. 188 Michael E. Berdy","A","76.7","48.2","A","Elementary"
"21K199","21","P.S. 199 Frederick Wachtel","B","52.9","34.2","A","Elementary"
"21K209","21","P.S. 209 Margaret Mead","B","46.2","27.8","B","K-8"
"21K212","21","P.S. 212 Lady Deborah Moody","B","50.5","28.6","B","Elementary"
"21K215","21","P.S. 215 Morris H. Weiss","A","67.8","42.8","A","Elementary"
"21K216","21","P.S. 216 Arturo Toscanini","C","34.5","17.0","C","Elementary"
"21K225","21","P.S. K225 - The Eileen E. Zaglin","B","53.6","27.9","B","K-8"
"21K226","21","P.S. 226 Alfred De B.Mason","B","53.4","31.0","B","K-8"
"21K228","21","I.S. 228 David A. Boody","C","34.7","16.3","C","Middle"
"21K238","21","P.S. 238 Anne Sullivan","B","41.3","21.9","C","K-8"
"21K239","21","Mark Twain I.S. 239 for the Gifted & Talented","A","75.6","40.5","A","Middle"
"21K253","21","P.S. 253","A","72.5","40.8","A","Elementary"
"21K281","21","I.S. 281 Joseph B Cavallaro","A","58.2","33.1","B","Middle"
"21K288","21","P.S. 288 The Shirley Tanyhill","B","43.2","31.1","B","K-8"
"21K303","21","I.S. 303 Herbert S. Eisenberg","A","62.3","30.5","B","Middle"
"21K329","21","P.S. 329 Surfside","B","53.3","30.2","B","Elementary"
"21K337","21","International High School at Lafayette","B","58.6","37.6","B","High School"
"21K344","21","Rachel Carson High School for Coastal Studies","B","66.6","38.7","B","High School"
"21K348","21","High School of Sports Management","B","61.6","27.4","D","High School"
"21K410","21","Abraham Lincoln High School","C","52.7","32.5","C","High School"
"21K411","21","Abraham Lincoln Yabc","B","64.3","33.6","B","YABC"
"21K468","21","Kingsborough Early College School","B","57.3","33.2","B","Middle"
"21K525","21","Edward R. Murrow High School","B","60.2","33.4","C","High School"
"21K540","21","John Dewey High School","C","49.4","29.9","C","High School"
"21K559","21","Life Academy High School for Film and Music","B","65.2","35.2","B","High School"
"21K572","21","Expeditionary Learning School for Community Leaders","D","45.6","31.1","C","High School"
"21K620","21","William E. Grady Career and Technical Education High School","B","59.8","36.3","B","High School"
"21K690","21","Brooklyn Studio Secondary School","B","53.4","28.8","B","Middle"
"21K690","21","Brooklyn Studio Secondary School","C","53.6","30.3","C","High School"
"21K728","21","Liberation Diploma Plus","A","72.9","39.7","B","Transfer High School"
"22K014","22","J.H.S. 014 Shell Bank","A","61.1","34.0","B","Middle"
"22K052","22","P.S. 052 Sheepshead Bay","C","38.0","20.2","C","Elementary"
"22K078","22","J.H.S. 078 Roy H. Mann","C","33.9","18.4","C","Middle"
"22K109","22","P.S. 109","C","26.1","13.4","D","K-8"
"22K119","22","P.S. 119 Amersfort","B","46.9","25.3","B","Elementary"
"22K134","22","P.S. K134","A","72.5","40.9","A","Elementary"
"22K139","22","P.S. 139 Alexine A. Fenty","B","47.6","31.1","B","Elementary"
"22K152","22","School of Science & Technology","B","41.0","23.8","C","Elementary"
